Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityAddPostBinding,ActivityAddPostBinding,Long Parameter List,The method has 20 parameters. ,68
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityAddPostBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityAddPostBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_add_post`root`attachToRoot`component);" is 149.,103
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityAddPostBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityAddPostBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_add_post`null`false`component);" is 142.,114
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityForgotBinding,ActivityForgotBinding,Long Parameter List,The method has 8 parameters. ,32
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityForgotBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityForgotBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_forgot`root`attachToRoot`component);" is 146.,49
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityForgotBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityForgotBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_forgot`null`false`component);" is 139.,60
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityImagePreviewBinding,ActivityImagePreviewBinding,Long Parameter List,The method has 5 parameters. ,20
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityImagePreviewBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityImagePreviewBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_image_preview`root`attachToRoot`component);" is 159.,33
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityImagePreviewBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityImagePreviewBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_image_preview`null`false`component);" is 152.,44
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityLoginBinding,ActivityLoginBinding,Long Parameter List,The method has 18 parameters. ,64
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityLoginBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityLoginBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_login`root`attachToRoot`component);" is 144.,94
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityLoginBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityLoginBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_login`null`false`component);" is 137.,105
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityMainBinding,ActivityMainBinding,Long Parameter List,The method has 7 parameters. ,28
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityMainBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityMainBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_main`root`attachToRoot`component);" is 142.,45
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityMainBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityMainBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_main`null`false`component);" is 135.,56
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityMapBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityMapBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_map`root`attachToRoot`component);" is 140.,24
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivityMapBinding,inflate,Long Statement,The length of the statement "return DataBindingUtil.<ActivityMapBinding>inflate(inflater`food.sharefood.com.sharefood.R.layout.activity_map`null`false`component);" is 133.,35
82_Share-Food-master,food.sharefood.com.sharefood.databinding,ActivitySearchBinding,ActivitySearchBinding,Long Parameter List,The method has 6 parameters. ,25
